,batch_size,units,learning_rate,run,seed,best_val_loss,best_epoch,final_train_loss,elapsed_sec
0,4,32,0.0005,0,1000,0.305749773979187,25,0.05052874982357025,12.401981592178345
1,4,32,0.0005,1,1001,0.1022520661354065,118,0.014996475540101528,42.16963052749634
2,4,32,0.001,0,1000,0.3277391195297241,11,0.06027466058731079,5.137065649032593
3,4,32,0.001,1,1001,0.12000534683465958,59,0.016807883977890015,13.621873378753662
4,4,32,0.005,0,1000,0.06424129009246826,17,0.018215496093034744,7.495094537734985
5,4,32,0.005,1,1001,0.07508090883493423,14,0.017021851614117622,6.144334554672241
6,4,64,0.0005,0,1000,0.26529666781425476,14,0.043256986886262894,8.494476556777954
7,4,64,0.0005,1,1001,0.10142726451158524,80,0.017091287299990654,23.007919549942017
8,4,64,0.001,0,1000,0.3095130920410156,7,0.05331328138709068,4.050533056259155
9,4,64,0.001,1,1001,0.10105878114700317,43,0.01643567904829979,14.321472406387329
10,4,64,0.005,0,1000,0.061910465359687805,37,0.014677692204713821,12.229909896850586
11,4,64,0.005,1,1001,0.0758124589920044,9,0.019736362621188164,5.351012706756592
12,4,128,0.0005,0,1000,0.2757945954799652,9,0.049880411475896835,6.79204797744751
13,4,128,0.0005,1,1001,0.07545516639947891,62,0.015683626756072044,16.953463792800903
14,4,128,0.001,0,1000,0.3118668794631958,4,0.05542847141623497,3.4633872509002686
15,4,128,0.001,1,1001,0.05940203741192818,36,0.015802590176463127,12.996707201004028
16,4,128,0.005,0,1000,0.04369930550456047,36,0.013777782209217548,11.601574897766113
17,4,128,0.005,1,1001,0.11115303635597229,6,0.04044748470187187,4.33133864402771
18,8,32,0.0005,0,1000,0.2894270718097687,43,0.04708493873476982,11.285231113433838
19,8,32,0.0005,1,1001,0.11051055043935776,154,0.01572008989751339,32.53192067146301
20,8,32,0.001,0,1000,0.32308414578437805,6,0.08583187311887741,6.158235311508179
21,8,32,0.001,1,1001,0.15297336876392365,59,0.020429367199540138,15.163151741027832
22,8,32,0.005,0,1000,0.09211218357086182,18,0.025156402960419655,5.595458507537842
23,8,32,0.005,1,1001,0.0785314291715622,75,0.009019809775054455,18.012263536453247
24,8,64,0.0005,0,1000,0.09710244089365005,147,0.016239464282989502,29.286643981933594
25,8,64,0.0005,1,1001,0.22081096470355988,29,0.03717046231031418,6.973873615264893
26,8,64,0.001,0,1000,0.10558589547872543,19,0.03686792775988579,5.099188804626465
27,8,64,0.001,1,1001,0.15467135608196259,33,0.023655181750655174,7.213745355606079
28,8,64,0.005,0,1000,0.09187114238739014,10,0.031769972294569016,4.962967157363892
29,8,64,0.005,1,1001,0.05997574329376221,21,0.013901039026677608,5.808443307876587
30,8,128,0.0005,0,1000,0.10915496200323105,21,0.03907602280378342,6.673273324966431
31,8,128,0.0005,1,1001,0.12869243323802948,30,0.026534661650657654,11.046465396881104
32,8,128,0.001,0,1000,0.09428087621927261,19,0.03269171342253685,6.0123841762542725
33,8,128,0.001,1,1001,0.10330208390951157,21,0.025857100263237953,5.890495777130127
34,8,128,0.005,0,1000,0.06307638436555862,15,0.019526435062289238,5.5142011642456055
35,8,128,0.005,1,1001,0.05868903920054436,14,0.016108950600028038,7.670411109924316
36,16,32,0.0005,0,1000,0.2797134816646576,77,0.04996425285935402,13.240875244140625
37,16,32,0.0005,1,1001,0.20451223850250244,99,0.03330729901790619,18.989485502243042
38,16,32,0.001,0,1000,0.3202928602695465,11,0.08823313564062119,4.050812482833862
39,16,32,0.001,1,1001,0.31031614542007446,15,0.08760601282119751,7.493746042251587
40,16,32,0.005,0,1000,0.06758075207471848,50,0.014721746556460857,11.838318347930908
41,16,32,0.005,1,1001,0.10309982299804688,35,0.016921265050768852,7.38261866569519
42,16,64,0.0005,0,1000,0.18819653987884521,50,0.03723074868321419,10.195057392120361
43,16,64,0.0005,1,1001,0.20234541594982147,49,0.038164421916007996,9.876018285751343
44,16,64,0.001,0,1000,0.07944893836975098,111,0.014197788201272488,16.350950241088867
45,16,64,0.001,1,1001,0.20467324554920197,28,0.033773016184568405,8.877547264099121
46,16,64,0.005,0,1000,0.07400687783956528,33,0.019341344013810158,7.604167699813843
47,16,64,0.005,1,1001,0.10423704236745834,18,0.02414168231189251,5.559560298919678
48,16,128,0.0005,0,1000,0.1357814222574234,36,0.03428621217608452,11.328927278518677
49,16,128,0.0005,1,1001,0.16067229211330414,33,0.03104405105113983,7.8706724643707275
50,16,128,0.001,0,1000,0.12226969003677368,24,0.0314897783100605,6.105182409286499
51,16,128,0.001,1,1001,0.1510467827320099,23,0.0263595562428236,8.077514171600342
52,16,128,0.005,0,1000,0.08899029344320297,13,0.025518810376524925,4.5607218742370605
53,16,128,0.005,1,1001,0.08262019604444504,12,0.02136901207268238,4.819782495498657
